dataset_id,module_a,module_b,mean_correlation,n_pairs
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,nad_salvage_core,0.04772548134988454,10
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,nad_de_novo,-0.4950675971092524,6
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,nad_consumption_repair,0.3949496454737083,1
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,sirtuin_repair,0.2822322211954042,6
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,oxidative_stress_repair,-0.31614815054057627,6
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,nfkb_inflammation,0.01586470928760881,8
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,nutrient_sensing,-0.5226112541111039,2
GSE282850_muscle_cell_aicar_palmitate,nad_consumption_repair,stress_repair,0.7386307520493174,2
GSE282850_muscle_cell_aicar_palmitate,sirtuin_repair,sirtuin_repair,0.00605283671027515,3
GSE282850_muscle_cell_aicar_palmitate,sirtuin_repair,stress_repair,0.35403575920435876,3
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,nad_salvage_core,0.013522540651638515,15
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,nad_de_novo,0.09323128050619495,9
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,nad_consumption_inflammation,-0.24597684108523246,3
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,nad_consumption_repair,-0.0735428385588,6
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,sirtuin_repair,0.005905400611843476,9
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,ampk_mitochondria_repair,0.038948744485253095,3
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,mitochondrial_biogenesis,0.13478330978313358,6
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,oxidative_stress_repair,-0.04541608323088023,9
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,nfkb_inflammation,-0.021986567671352698,12
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,innate_immune_inflammation,0.32487899725399816,9
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,monocyte_macrophage,0.2686455334260594,6
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,insulin_metabolism,0.08690358780104435,12
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,nutrient_sensing,-0.16745389498160135,3
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,stress_repair,0.11216857587425692,3
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,dna_damage_repair,-0.1027804934770446,9
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,autophagy_repair,-0.03342001370439354,12
GSE282850_muscle_cell_aicar_palmitate,ampk_mitochondria_repair,mitochondrial_stress,0.12885463061082617,6
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,nad_salvage_core,0.0200828375531235,10
GSE282850_muscle_cell_aicar_palmitate,mitochondrial_biogenesis,nad_de_novo,-0.1806325600505916,6
